threshold,precision,recall,f1_score,tn,fp,fn,tp,model_name
0.149,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
0.15,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
0.151,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
0.152,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
0.153,0.9036144578313253,0.7894736842105263,0.8426966292134831,56643.0,8.0,20.0,75.0,Random Forest
0.154,0.9146341463414634,0.7894736842105263,0.847457627118644,56644.0,7.0,20.0,75.0,Random Forest
0.155,0.9146341463414634,0.7894736842105263,0.847457627118644,56644.0,7.0,20.0,75.0,Random Forest
0.156,0.9146341463414634,0.7894736842105263,0.847457627118644,56644.0,7.0,20.0,75.0,Random Forest
0.157,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.158,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.159,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.16,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.161,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.162,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.163,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.164,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.165,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.166,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.167,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.168,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.169,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.17,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.171,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.17200000000000001,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.17300000000000001,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.17400000000000002,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.17500000000000002,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.176,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.177,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.178,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.179,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.18,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.181,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.182,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.183,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.184,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.185,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.186,0.9259259259259259,0.7894736842105263,0.8522727272727273,56645.0,6.0,20.0,75.0,Random Forest
0.187,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.188,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.189,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.19,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.191,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.192,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.193,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.194,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.195,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.196,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
0.197,0.925,0.7789473684210526,0.8457142857142858,56645.0,6.0,21.0,74.0,Random Forest
